,Unnamed: 0,i,j,dist,route
3464,3464,59,38,1030.221,"[5051267774, 5051267775, 5051267776, 5051267777, 5051267778, 5051267779, 5051267780, 8035381156, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 6411450873, 221299256]"
3513,3513,59,39,818.103,"[5051267777, 5051267778, 5051267779, 5051267780, 8035381156, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 6411450873, 221299256]"
3560,3560,59,40,706.352,"[5051267778, 5051267779, 5051267780, 8035381156, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 6411450873, 221299256]"
3605,3605,59,41,564.916,"[5051267780, 8035381156, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 6411450873, 221299256]"
3648,3648,59,42,1050.576,"[8397495484, 221320398, 221320402, 221314392, 7675630708, 8425524658, 221298857, 7805312035, 221327495, 221327512, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 6411450873, 221299256]"
3689,3689,59,43,851.38,"[7675630708, 8425524658, 221298857, 7805312035, 221327495, 221327512, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 6411450873, 221299256]"
3728,3728,59,44,840.55,"[221327144, 221319024, 221319014, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 6411450873, 221299256]"
3765,3765,59,45,576.683,"[221327495, 221327512, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 6411450873, 221299256]"
3800,3800,59,46,450.564,"[221327512, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 6411450873, 221299256]"
3833,3833,59,47,1139.578,"[221320429, 221298876, 221302248, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 6411450873, 221299256]"
3864,3864,59,48,1480.957,"[221318186, 221318190, 3703724242, 8751578236, 8875025733, 8875025722, 221301617, 221301620, 221301686, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221314410, 221336970, 6411450879, 6411450880, 6411450876, 6411450875, 221299256]"
3893,3893,59,49,1007.155,"[221319853, 221319841, 2217993838, 5051267780, 8035381156, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 6411450873, 221299256]"
3920,3920,59,50,1187.626,"[221321314, 221326466, 221327875, 221319841, 2217993838, 5051267780, 8035381156, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 6411450873, 221299256]"
3945,3945,59,51,1323.116,"[221326495, 221321314, 221326466, 221327875, 221319841, 2217993838, 5051267780, 8035381156, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 6411450873, 221299256]"
3968,3968,59,52,1351.037,"[221298303, 2218015046, 221322754, 2217993909, 2217993888, 221318810, 221332021, 2218015174, 2218014972, 6944732755, 6944732727, 221332078, 221299181, 221299198, 221299226, 7174134447, 221299237, 6411450873, 221299256]"
3989,3989,59,53,1721.238,"[6864966868, 221308669, 8209187735, 8209187767, 8023854732, 221318186, 221318190, 3703724242, 8751578236, 8875025733, 8875025722, 221301617, 221301620, 221301686, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221314410, 221336970, 6411450879, 6411450880, 6411450876, 6411450875, 221299256]"
4008,4008,59,54,1159.863,"[8875025733, 8875025722, 221301617, 221301620, 221301686, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221314410, 221336970, 6411450879, 6411450880, 6411450876, 6411450875, 221299256]"
4025,4025,59,55,992.135,"[221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221314410, 221336970, 6411450879, 6411450880, 6411450876, 6411450875, 221299256]"
4040,4040,59,56,1663.155,"[7786446733, 7786446730, 7786446736, 7786446715, 7786446707, 7786446708, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 8875025722, 221301617, 221301620, 221301686, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221314410, 221336970, 6411450879, 6411450880, 6411450876, 6411450875, 221299256]"
4053,4053,59,57,1531.027,"[6410049278, 6556362348, 8751578244, 8751578236, 8875025733, 8875025722, 221301617, 221301620, 221301686, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221314410, 221336970, 6411450879, 6411450880, 6411450876, 6411450875, 221299256]"
4064,4064,59,58,1643.96,"[221331046, 221325215, 7307709764, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 8875025722, 221301617, 221301620, 221301686, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221314410, 221336970, 6411450879, 6411450880, 6411450876, 6411450875, 221299256]"
4074,4074,59,59,0,[221299256]
4076,4076,59,60,3488.607,"[221299256, 221299286, 221299304, 2210591363, 2212132992, 221330557, 221330561, 8396834797, 8396834804, 8427335152, 6575547647, 221314710, 6575547641, 8427335158, 2223583194, 221330582, 2221324631, 2207918743, 221313187, 2210576309, 221320105, 8192653593, 7729773901, 221330624, 2239706956, 2831821119, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
4078,4078,59,61,2277.359,"[221299256, 221299286, 221299586, 221301342, 221301352, 221301361, 7675630687, 7675630688, 7675630699, 7675630707, 7675630708, 8425524658, 221298857, 8433686888, 221298862, 221298868, 221298871, 221298874, 221298876, 221298883, 221298887, 221298892, 221298898, 221298902, 221298906, 5051267976, 221323887, 221330151, 5051267975, 6577806554, 6577806627, 6577806659, 6577806641, 6577806667, 6582682154, 6582682149, 6582682145, 3072514503, 6577772593, 3072514504, 3072514466, 3072514467, 6577772579, 4828035305, 3072514433, 3072514781, 3072514770, 221308215]"
4080,4080,59,62,1924.387,"[221299256, 221299286, 221299304, 221320383, 221320370, 7936202715, 221306241, 221320327, 8194025444, 221320312, 8751578293, 6563819843, 6620888592, 6563819804, 221310512, 221305446, 8425191221, 8425154410, 221318179, 7786284549, 221308669, 221308755, 8397696452, 8772486758, 8397696446, 8772486760, 8427345299, 8397696453, 221329428, 6789356538, 6789356541, 221323785, 6789356558, 2212132829, 8218358733]"
4082,4082,59,63,1945.26,"[221299256, 221299286, 221299304, 2210591363, 2212132992, 221330557, 221330775, 2210654477, 7263611320, 8011979690, 8011979686, 8011968984, 8396107023, 8011968961, 6965100459]"
119,119,60,0,2563.624,"[6810168787, 6810168786, 4704609189, 4704609165, 2210576327, 2210576548, 221302173, 221302169, 221302156, 221318967, 4704589823, 221326945, 221326948, 8210325584, 221326951, 8210325556, 8210325543, 5051268296, 4680804271, 5051268297, 4680804268, 7523861086, 4680804265, 5051268484, 4664257622, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
247,247,60,1,4506.595,"[221325183, 2217684856, 221308476, 9870322828, 9870322840, 221329409, 8001929556, 8001929553, 8001929547, 2241230530, 221320592, 221305277, 2212103469, 221305460, 221325257, 8002635689, 2212103414, 2226928082, 2228107124, 221330531, 221325494, 221330557, 221330561, 8396834797, 8396834804, 8427335152, 6575547647, 221314710, 6575547641, 8427335158, 2223583194, 221330582, 2221324631, 2207918743, 221313187, 2210576309, 221320105, 8192653593, 7729773901, 221330624, 2239706956, 2831821119, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
370,370,60,2,4660.72,"[221305061, 221302437, 221325183, 2217684856, 221308476, 9870322828, 9870322840, 221329409, 8001929556, 8001929553, 8001929547, 2241230530, 221320592, 221305277, 2212103469, 221305460, 221325257, 8002635689, 2212103414, 2226928082, 2228107124, 221330531, 221325494, 221330557, 221330561, 8396834797, 8396834804, 8427335152, 6575547647, 221314710, 6575547641, 8427335158, 2223583194, 221330582, 2221324631, 2207918743, 221313187, 2210576309, 221320105, 8192653593, 7729773901, 221330624, 2239706956, 2831821119, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
491,491,60,3,4716.016,"[221319475, 221319466, 6411409259, 6411409229, 221319446, 5410768904, 2212132842, 221319439, 221318241, 5410931538, 5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221333062, 221304243, 221323887, 221330151, 221324425, 6711081323, 221298925, 6721238795, 6721238792, 221315536, 221336154, 3554561964, 221336158, 3554561965, 221320460, 3554561966, 6718684213, 6718684220, 6718684221, 6718710790, 6718710788, 5051268300, 4664649270, 4664649269, 5051268425, 4664257670, 5051268424, 4664257668, 4664257669, 5051268421, 4664257664, 4664257665, 5051268478, 4664257661, 4664257658, 5051268479, 4664257657, 4664257656, 221333210, 4654717393, 4654717390, 4654717391, 5051268487, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
610,610,60,4,4744.433,"[221320236, 221298303, 2218015046, 221322754, 2217993909, 2217993888, 221318810, 221332021, 2218015174, 2218014972, 6944732755, 6944732727, 221332078, 221299181, 221299198, 221299226, 7174134447, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221333062, 221304243, 221323887, 221330151, 221324425, 6711081323, 221298925, 6721238795, 6721238792, 221315536, 221336154, 3554561964, 221336158, 3554561965, 221320460, 3554561966, 6718684213, 6718684220, 6718684221, 6718710790, 6718710788, 5051268300, 4664649270, 4664649269, 5051268425, 4664257670, 5051268424, 4664257668, 4664257669, 5051268421, 4664257664, 4664257665, 5051268478, 4664257661, 4664257658, 5051268479, 4664257657, 4664257656, 221333210, 4654717393, 4654717390, 4654717391, 5051268487, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
727,727,60,5,4693.089,"[221298310, 221298303, 2218015046, 221322754, 2217993909, 2217993888, 221318810, 221332021, 2218015174, 2218014972, 6944732755, 6944732727, 221332078, 221299181, 221299198, 221299226, 7174134447, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221333062, 221304243, 221323887, 221330151, 221324425, 6711081323, 221298925, 6721238795, 6721238792, 221315536, 221336154, 3554561964, 221336158, 3554561965, 221320460, 3554561966, 6718684213, 6718684220, 6718684221, 6718710790, 6718710788, 5051268300, 4664649270, 4664649269, 5051268425, 4664257670, 5051268424, 4664257668, 4664257669, 5051268421, 4664257664, 4664257665, 5051268478, 4664257661, 4664257658, 5051268479, 4664257657, 4664257656, 221333210, 4654717393, 4654717390, 4654717391, 5051268487, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
842,842,60,6,4869.991,"[221298350, 221298329, 221298310, 221298303, 2218015046, 221322754, 2217993909, 2217993888, 221318810, 221332021, 2218015174, 2218014972, 6944732755, 6944732727, 221332078, 221299181, 221299198, 221299226, 7174134447, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221333062, 221304243, 221323887, 221330151, 221324425, 6711081323, 221298925, 6721238795, 6721238792, 221315536, 221336154, 3554561964, 221336158, 3554561965, 221320460, 3554561966, 6718684213, 6718684220, 6718684221, 6718710790, 6718710788, 5051268300, 4664649270, 4664649269, 5051268425, 4664257670, 5051268424, 4664257668, 4664257669, 5051268421, 4664257664, 4664257665, 5051268478, 4664257661, 4664257658, 5051268479, 4664257657, 4664257656, 221333210, 4654717393, 4654717390, 4654717391, 5051268487, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
955,955,60,7,4819.122,"[2217994122, 221306028, 221320708, 221322754, 2217993909, 2217993888, 221318810, 221332021, 2218015174, 2218014972, 6944732755, 6944732727, 221332078, 221299181, 221299198, 221299226, 7174134447, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221333062, 221304243, 221323887, 221330151, 221324425, 6711081323, 221298925, 6721238795, 6721238792, 221315536, 221336154, 3554561964, 221336158, 3554561965, 221320460, 3554561966, 6718684213, 6718684220, 6718684221, 6718710790, 6718710788, 5051268300, 4664649270, 4664649269, 5051268425, 4664257670, 5051268424, 4664257668, 4664257669, 5051268421, 4664257664, 4664257665, 5051268478, 4664257661, 4664257658, 5051268479, 4664257657, 4664257656, 221333210, 4654717393, 4654717390, 4654717391, 5051268487, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
1066,1066,60,8,4500.723,"[2218015046, 221322754, 2217993909, 2217993888, 221318810, 221332021, 2218015174, 2218014972, 6944732755, 6944732727, 221332078, 221299181, 221299198, 221299226, 7174134447, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221333062, 221304243, 221323887, 221330151, 221324425, 6711081323, 221298925, 6721238795, 6721238792, 221315536, 221336154, 3554561964, 221336158, 3554561965, 221320460, 3554561966, 6718684213, 6718684220, 6718684221, 6718710790, 6718710788, 5051268300, 4664649270, 4664649269, 5051268425, 4664257670, 5051268424, 4664257668, 4664257669, 5051268421, 4664257664, 4664257665, 5051268478, 4664257661, 4664257658, 5051268479, 4664257657, 4664257656, 221333210, 4654717393, 4654717390, 4654717391, 5051268487, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
1175,1175,60,9,4552.457,"[2217993943, 2217993888, 221318810, 221332021, 2218015174, 2218014972, 6944732755, 6944732727, 221332078, 221299181, 221299198, 221299226, 7174134447, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221333062, 221304243, 221323887, 221330151, 221324425, 6711081323, 221298925, 6721238795, 6721238792, 221315536, 221336154, 3554561964, 221336158, 3554561965, 221320460, 3554561966, 6718684213, 6718684220, 6718684221, 6718710790, 6718710788, 5051268300, 4664649270, 4664649269, 5051268425, 4664257670, 5051268424, 4664257668, 4664257669, 5051268421, 4664257664, 4664257665, 5051268478, 4664257661, 4664257658, 5051268479, 4664257657, 4664257656, 221333210, 4654717393, 4654717390, 4654717391, 5051268487, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
1282,1282,60,10,4469.989,"[2217993816, 221328687, 221333117, 221332021, 2218015174, 2218014972, 6944732755, 6944732727, 221332078, 221299181, 221299198, 221299226, 7174134447, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221333062, 221304243, 221323887, 221330151, 221324425, 6711081323, 221298925, 6721238795, 6721238792, 221315536, 221336154, 3554561964, 221336158, 3554561965, 221320460, 3554561966, 6718684213, 6718684220, 6718684221, 6718710790, 6718710788, 5051268300, 4664649270, 4664649269, 5051268425, 4664257670, 5051268424, 4664257668, 4664257669, 5051268421, 4664257664, 4664257665, 5051268478, 4664257661, 4664257658, 5051268479, 4664257657, 4664257656, 221333210, 4654717393, 4654717390, 4654717391, 5051268487, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
1387,1387,60,11,4509.353,"[221314437, 221328687, 221333117, 221332021, 2218015174, 2218014972, 6944732755, 6944732727, 221332078, 221299181, 221299198, 221299226, 7174134447, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221333062, 221304243, 221323887, 221330151, 221324425, 6711081323, 221298925, 6721238795, 6721238792, 221315536, 221336154, 3554561964, 221336158, 3554561965, 221320460, 3554561966, 6718684213, 6718684220, 6718684221, 6718710790, 6718710788, 5051268300, 4664649270, 4664649269, 5051268425, 4664257670, 5051268424, 4664257668, 4664257669, 5051268421, 4664257664, 4664257665, 5051268478, 4664257661, 4664257658, 5051268479, 4664257657, 4664257656, 221333210, 4654717393, 4654717390, 4654717391, 5051268487, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
1490,1490,60,12,4201.223,"[221325215, 6410049278, 6556362348, 8751578241, 221318190, 221318186, 8023854732, 221318179, 8425154410, 8425191221, 221305446, 221310512, 6563819804, 6620888592, 6563819843, 8751578293, 221320312, 8194025444, 221320327, 221306241, 7936202715, 221320370, 7936202714, 8417400969, 7983851822, 221327795, 7983851825, 221300814, 7983851828, 6865002617, 221301033, 221330531, 221325494, 221330557, 221330561, 8396834797, 8396834804, 8427335152, 6575547647, 221314710, 6575547641, 8427335158, 2223583194, 221330582, 2221324631, 2207918743, 221313187, 2210576309, 221320105, 8192653593, 7729773901, 221330624, 2239706956, 2831821119, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
1591,1591,60,13,4101.103,"[221323785, 6789356541, 6789356538, 221329428, 8397696453, 8427345299, 8772486760, 8397696446, 8772486758, 8397696452, 221308755, 221308669, 7786284549, 221318179, 8425154410, 8425191221, 221305446, 221310512, 6563819804, 6620888592, 6563819843, 8751578293, 221320312, 8194025444, 221320327, 221306241, 7936202715, 221320370, 7936202714, 8417400969, 7983851822, 221327795, 7983851825, 221300814, 7983851828, 6865002617, 221301033, 221330531, 221325494, 221330557, 221330561, 8396834797, 8396834804, 8427335152, 6575547647, 221314710, 6575547641, 8427335158, 2223583194, 221330582, 2221324631, 2207918743, 221313187, 2210576309, 221320105, 8192653593, 7729773901, 221330624, 2239706956, 2831821119, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
1690,1690,60,14,3461.316,"[221323303, 221318138, 7241109967, 5051267773, 8035381156, 5051267780, 5051267779, 5051267778, 5051267777, 5051267776, 5051267775, 5051267774, 4682490662, 221304243, 221323887, 221330151, 221324425, 6711081323, 221298925, 6721238795, 6721238792, 221315536, 221336154, 3554561964, 221336158, 3554561965, 221320460, 3554561966, 6718684213, 6718684220, 6718684221, 6718710790, 6718710788, 5051268300, 4664649270, 4664649269, 5051268425, 4664257670, 5051268424, 4664257668, 4664257669, 5051268421, 4664257664, 4664257665, 5051268478, 4664257661, 4664257658, 5051268479, 4664257657, 4664257656, 221333210, 4654717393, 4654717390, 4654717391, 5051268487, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
1787,1787,60,15,3372.926,"[221318138, 7241109967, 5051267773, 8035381156, 5051267780, 5051267779, 5051267778, 5051267777, 5051267776, 5051267775, 5051267774, 4682490662, 221304243, 221323887, 221330151, 221324425, 6711081323, 221298925, 6721238795, 6721238792, 221315536, 221336154, 3554561964, 221336158, 3554561965, 221320460, 3554561966, 6718684213, 6718684220, 6718684221, 6718710790, 6718710788, 5051268300, 4664649270, 4664649269, 5051268425, 4664257670, 5051268424, 4664257668, 4664257669, 5051268421, 4664257664, 4664257665, 5051268478, 4664257661, 4664257658, 5051268479, 4664257657, 4664257656, 221333210, 4654717393, 4654717390, 4654717391, 5051268487, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
1882,1882,60,16,3885.585,"[221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221333062, 221304243, 221323887, 221330151, 221324425, 6711081323, 221298925, 6721238795, 6721238792, 221315536, 221336154, 3554561964, 221336158, 3554561965, 221320460, 3554561966, 6718684213, 6718684220, 6718684221, 6718710790, 6718710788, 5051268300, 4664649270, 4664649269, 5051268425, 4664257670, 5051268424, 4664257668, 4664257669, 5051268421, 4664257664, 4664257665, 5051268478, 4664257661, 4664257658, 5051268479, 4664257657, 4664257656, 221333210, 4654717393, 4654717390, 4654717391, 5051268487, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
1975,1975,60,17,4210.254,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221333062, 221304243, 221323887, 221330151, 221324425, 6711081323, 221298925, 6721238795, 6721238792, 221315536, 221336154, 3554561964, 221336158, 3554561965, 221320460, 3554561966, 6718684213, 6718684220, 6718684221, 6718710790, 6718710788, 5051268300, 4664649270, 4664649269, 5051268425, 4664257670, 5051268424, 4664257668, 4664257669, 5051268421, 4664257664, 4664257665, 5051268478, 4664257661, 4664257658, 5051268479, 4664257657, 4664257656, 221333210, 4654717393, 4654717390, 4654717391, 5051268487, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
2066,2066,60,18,4295.11,"[221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221333062, 221304243, 221323887, 221330151, 221324425, 6711081323, 221298925, 6721238795, 6721238792, 221315536, 221336154, 3554561964, 221336158, 3554561965, 221320460, 3554561966, 6718684213, 6718684220, 6718684221, 6718710790, 6718710788, 5051268300, 4664649270, 4664649269, 5051268425, 4664257670, 5051268424, 4664257668, 4664257669, 5051268421, 4664257664, 4664257665, 5051268478, 4664257661, 4664257658, 5051268479, 4664257657, 4664257656, 221333210, 4654717393, 4654717390, 4654717391, 5051268487, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
2155,2155,60,19,4201.161,"[221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221333062, 221304243, 221323887, 221330151, 221324425, 6711081323, 221298925, 6721238795, 6721238792, 221315536, 221336154, 3554561964, 221336158, 3554561965, 221320460, 3554561966, 6718684213, 6718684220, 6718684221, 6718710790, 6718710788, 5051268300, 4664649270, 4664649269, 5051268425, 4664257670, 5051268424, 4664257668, 4664257669, 5051268421, 4664257664, 4664257665, 5051268478, 4664257661, 4664257658, 5051268479, 4664257657, 4664257656, 221333210, 4654717393, 4654717390, 4654717391, 5051268487, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
